!!!,sillyname,143.98649,Myth Takes,Myth Takes,2007
Gerard Lenorman,french,227.39546,La Ballade Des Gens Heureux,Voici Les ClA(c)s,1999
GG Allin,punk,143.59465,You Give Love a Bad Name,Garbage Dump,1999
Gipsy Kings,classic pop and rock,194.87302,Greatest Hits,Tu Quieres Volver,1987
Gipsy Kings,classic pop and rock,303.09832,Gipsy Kings / Mosaique / Este mundo,Camino,1989
Gipsy Kings,classic pop and rock,222.92853,Somos Gitanos,Somos Gitanos,2001
Glad,a cappella,270.602,Simply Glad,Blessed Assurance,1993
Glad,a cappella,174.52363,Acapella Hymns,Immortal_ Invisible,1993
Glad,a cappella,234.762,Acapella Hymns,This is My Father's World/For the Beauty of the Earth,1993
Glen Campbell And Bobbie Gentry,classic pop and rock,183.11791,The Best of Bobbie Gentry: The Capitol Years,Mornin' Glory,1968
God Lives Underwater,industrial rock,215.40526,Empty,Don't Know How To Be,1995
Gorillaz,trip rock,249.93914,Gorillaz,Rock The House (Explicit),2001
Gorillaz,trip rock,183.53587,G-Sides,Rock The House (Radio Edit),2001
Gorillaz,trip rock,128.41751,Demon Days,White Light,2005
Gorillaz,trip rock,160.96608,Demon Days,November Has Come,2005
Gorillaz,trip rock,219.37587,Dirty Harry,All Alone (Live),2005
Gorillaz,trip rock,230.47791,Dirty Harry,Dirty Harry (Single Edit),2005
Gov't Mule,southern rock,378.95791,By a Thread,Broke Down On The Brazos (Album),2009
Grandmaster Flash,classic pop and rock,190.17098,Ba-Dop-Boom-Bang,Underarms,1987
Grant Geissman,production music,307.40853,Rustic Technology,Chaco (Album Version),1993
Grant Geissman,production music,349.23057,Rustic Technology,Silent Movies (Album Version),1993
Green Day,punk rock,340.79302,Wake Me Up When September Ends,Wake Me Up When September Ends (Live at Foxboro_ MA 9/3/05),2005
Gregory Isaacs,reggae,219.402,Hold Tight,Down the Line,1979
Gregory Isaacs,reggae,216.5024,The Very Best of Gregory Isaacs Gold,Out Deh,2001
Grey Area,idm,189.33506,Grey Area,All Time Low (Album Version),1997
Grizzly Bear,warp,384.67873,Yellow House,Little Brother,2006
Grizzly Bear,warp,351.50322,Friend EP,Deep Blue Sea (Daniel Rossen home recording),2008
Groundhogs,60s,1023.86893,U.S. Tour '72,Still a Fool,1968
G-Unit,hip hop rnb and dance hall,242.52036,Hot Joints 2,Poppin' Them Thangs,2003
Guns N' Roses,hard rock,237.13914,Lies / Appetite For Destruction,Mama Kin,1986
Guns N' Roses,hard rock,284.99546,Live Era '87-'93,You're Crazy,1987
Guns N' Roses,hard rock,445.17832,Live Era '87-'93,Sweet Child O' Mine,1987
Guns N' Roses,hard rock,402.36363,Live Era '87-'93,Patience,1988
Guns N' Roses,hard rock,524.87791,Use Your Illusion II,Locomotive (Complicity),1991
Guns N' Roses,hard rock,352.96608,Chinese Democracy,Catcher In The Rye,2008
Gustavo A. Santaolalla,south american,186.5922,Ronroco,La Vuelta,1998
Gustavo Cerati,espaA+-ol,251.66322,AhA Vamos,La Excepcion,2006
Gustavo Cerati,espaA+-ol,333.19138,AhA Vamos,MA(c)dium,2006
Gustavo Santaolalla,south american,117.18485,Babel - Music From And Inspired By The Motion Picture,The Blinding Sun,2006
Gwen Stefani,ska punk,290.55955,Love Angel Music Baby,Harajuku Girls,2004
Gwen Stefani,ska punk,225.41016,What You Waiting For?,What You Waiting For?,2004
Gwen Stefani,ska punk,294.19057,4 In The Morning,4 In The Morning,2006
Gym Class Heroes,pop and chart,186.46159,The Papercut Chronicles,Simple Livin' (Album Version),2005
Gym Class Heroes,pop and chart,158.64118,The Papercut Chronicles,To Bob Ross With Love (Album Version),2005
Gym Class Heroes,pop and chart,254.51057,As Cruel As School Children,New Friend Request (Amended Version),2006
Gym Class Heroes,pop and chart,134.922,As Cruel As School Children,Sloppy Love Jingle_ Pt. 3 (Amended Album Version),2006
GZA/The Genius,wu-tang,237.34812,Legend Of The Liquid Sword,Did Ya Say That,2002
HA(c)roes del Silencio,spanish,198.89587,Senda '91,El Mar No Cesa (Live),1991
Hanoi Rocks,classic pop and rock,304.22159,Back to Mystery City,Mental Beat,1983
Hanoi Rocks,classic pop and rock,240.66567,Another Hostile Takeover,No Comprimise_ No Regrets,2005
Hanoi Rocks,classic pop and rock,236.35546,Street Poetry,Walkin' Away,2007
Happy Mondays,madchester,156.682,Squirrel And G-Man Twenty Four Hour Party People Plastic Face Carnt Smile,Olive Oil,1987
Happy Mondays,madchester,342.59546,Bummed,"Wrote For Luck (12"" - Remastered version)",1988
Happy Mondays,madchester,243.25179,Bummed,Performance (Remastered),1988
Happy Mondays,madchester,200.80281,Pills 'n' Thrills And Bellyaches,Grandbag's Funeral,1990
Harry Connick_ Jr,pop rock,192.07791,Eleven,Joe Avery's Piece,1979
Harry Connick_ Jr.,pop rock,251.76771,She,Here Comes The Big Parade,1994
Harry Gregson-Williams,soundtrack,95.9473,Rundown/Welcome To The Jungle,Whip Fight,2003
Harry Gregson-Williams,soundtrack,284.682,Man On Fire,Sanchez Family,2004
Harry Gregson-Williams,soundtrack,69.642,Shrek 2,The Ball,2004
Hatiras,toronto,295.3922,Arrival,Lost In Space,2001
Hatiras,toronto,298.1873,Hatiras - Electronic Luv,The Anthem,2002
Hatiras,toronto,177.13587,Arrival,Final Flash,2002
Hatiras & Slarta John,toronto,383.58159,Spaced Invader,Spaced Invader (Ian Pooley Club Mix),2000
He Is Legend,post-hardcore,207.12444,Suck Out The Poison,Stampede,2006
Heaven 17,new wave,255.16363,Endless,(We Don't Need This) Fascist Groove Thang,1981
Heaven 17,new wave,311.43138,Penthouse And Pavement,I'm Your Money (12'' Extended Version) (2006 Digital Remaster),1981
Heaven 17,new wave,273.84118,The Luxury Gap,Come Live With Me (12'' Extended Version) (2006 Digital Remaster),1983
Heaven 17,new wave,242.28526,Bigger Than America,Resurrection Man,1996
Heaven 17,new wave,287.39873,Bigger Than America,We Blame Love,1996
Heaven 17,new wave,354.19383,The Remix Collection,(We Don't Need This) Fascist Groove Thang (Rapino Club Mix),2009
Hef feat. Big2 & Dio,nl,219.29751,Hefvermogen,Gedroomd,2009
Helen Love,rock and indie,81.97179,Radio Hits,So Hot,1994
Helen Love,rock and indie,174.602,Ahead Of The Race,Rollercoasting,1994
Helen Love,rock and indie,145.78893,Radio Hits 2,Bubblegum,1997
Helen Love,rock and indie,185.36444,Radio Hits 3,Shifty Disco Girl,2000
Helen Love,rock and indie,213.39383,Love And Glitter_ Hot Days And Musik,Bigbigkiss,2000
Helen Love,rock and indie,156.21179,It's My Club And I'll Play What I Want To,First Boyfriend,2007
Helmet,rock and indie,257.54077,Unsung: The Best Of Helmet 1991-1997,Give It,1992
Helmet,rock and indie,220.31628,Betty,Tic,1994
Helmet,rock and indie,212.16608,Betty,Street Crab,1994
Helmet,rock and indie,200.75057,Born Annoying,Your Head,1995
Helmet,rock and indie,206.94159,Size Matters,Everybody Loves You,2004
Hem,country,222.74567,Rabbit Songs,When I Was Drinking,2000
Hem,country,71.05261,Rabbit Songs,Polly's Dress,2000
Hem,country,252.86485,Eveningland,Redwing,2004
Hem,country,133.27628,Peace At Last - EP,Have Yourself A Merry Little Christmas,2005
Herb Alpert And The Tijuana Brass,american,163.94404,South Of The Border,Adios_ Mi Corazon,1964
Hins Cheung,chinese,238.21016,Urban Emotions,Xue Hua Chao,2008
Hi-Tack,pop and chart,345.96526,Say Say Say (Waiting 4 U),Say Say Say (Waiting 4 U) (Tocadisco's Not Guilty Remix),2006
Horace Andy,classic pop and rock,176.27383,Feel Good All Over: Anthology 1970-1976,Thank You Lord,1985
Horace Andy,classic pop and rock,234.44853,Exclusively,Musical Episode,2005
Hot Chip,uk,181.02812,Coming On Strong,Ass Attack (Four Tet Remix),2004
Hot Chip,uk,182.15138,Worried Noodles,No,2007
Hot Chip,uk,381.17832,Made In The Dark,Hold On,2008
Hot Chip,uk,202.10893,101 Running Songs,Ready For The Floor (Radio Edit),2008
Hot Club Of Cowtown,folk,203.96363,Wishful Thinking,Cabiria,2009
Hot Club Of Cowtown,folk,163.10812,Wishful Thinking,The Magic Violin,2009
Hot Tuna,folk,375.562,Hot Tuna: Live,Death Don't Have No Mercy,1970
Hot Tuna,folk,304.45669,Platinum & Gold Collection,Hesitation Blues,1970
Hot Tuna,folk,239.59465,Final Vinyl,Candy Man,1971
Hot Tuna,folk,270.96771,Double Dose,Extrication Love Song,1976
Hot Tuna,folk,461.71383,LIVE AT SWEETWATER II,Parchman Farm,2004
Hubert Kah,neue deutsche welle,249.83465,Seelentaucher,Raketen,2005
I Wayne,hip hop rnb and dance hall,244.32281,Lava Ground,Grow Proper,2005
Iggy And The Stooges,classic pop and rock,220.78649,Telluric Chaos,1969,1969
Iggy And The Stooges,classic pop and rock,347.53261,Metallic K.O.,Raw Power,1996
Iggy Pop,hard rock,221.43955,Brick By Brick,Main Street Eyes,1990
Iggy Pop,hard rock,300.77342,Heroin Hates You,5 Foot 1,1990
Ill Nino,new metal,219.81995,One Nation Underground,All I Ask For (Album Version),2005
Ill Nino,new metal,180.50567,The Best Of Ill NiA+-o,What You Deserve (Album Version),2006
In Extremo,german,297.45587,Am goldenen Rhein,Vollmond,2000
In Extremo,german,233.74322,Mein rasend Herz,Signapur,2005
In Extremo,german,186.06975,Frei zu sein,Frei zu sein,2008
In Extremo,german,260.5971,SA$?ngerkrieg,Frei zu sein,2008
Incubus,alternative metal,353.77587,Live in Malaysia 2004,Just A Phase,2001
Incubus,alternative metal,291.81342,Live in Japan 2004,Warning,2001
Incubus,alternative metal,227.73506,Live in Japan 2004,A Crow Left Of The Murder,2004
Information Society,electronic,68.362,Information Society,Make It Funky (Album Version),1988
Information Society,electronic,211.9571,Hack,Hack 1/Charlie X,1990
Information Society,electronic,251.61098,Hack,Slipping Away/Here Is Kazmeyer,1990
Information Society,electronic,288.62649,Don't Be Afraid,Seek 300,1997
Information Society,electronic,512.78322,Don't Be Afraid,Empty,1997
Information Society,electronic,233.42975,Synthesizer,More to This,2007
Ini Kamoze,pop and chart,248.92036,Massive Reggae,Here Comes The Hotstepper,1995
Ini Kamoze,pop and chart,242.59873,100 R&B Classics - The Anthems,Here Comes The Hotstepper,1995
Ini Kamoze,pop and chart,229.66812,5150 Rule,Gangsta Roll,2009
Inspiral Carpets,madchester,283.76771,The Singles,Commercial Reign,1990
Inspiral Carpets,madchester,283.32363,Cool As,Commercial Reign,1990
Inspiral Carpets,madchester,232.12363,Devil Hopping,Party In The Sky,1994
Inspiral Carpets,madchester,230.05995,Greatest Hits,Keep The Circle Around,1999
Intars Busulis,latvian,183.58812,Eurovision Song Contest 2009,Probka (Latvia),2009
Irma Thomas,classic pop and rock,205.29587,The Story Of My Life,Hold Me While I Cry,2001
Irma Thomas,classic pop and rock,146.88608,Straight From The Soul,I'm Gonna Cry Til' My Tears Run Dry,2004
Irma Thomas,classic pop and rock,240.69179,Rounder Records' 40th Anniversary Concert,River Is Waiting,2008
Irma Thomas,classic pop and rock,190.9024,The Story Of My Life,We All Need Love,2008
Irwin Goodman,finnish,119.06567,Lauluja elokuvasta Rentun Ruusu,Raha ratkaisee,1966
Irwin Goodman,finnish,200.9073,Kolmastoista kerta,Terve menoo jA$?tkA$?nretale,1977
Irwin Goodman,finnish,231.47057,Cha cha cha,Onni,1978
Irwin Goodman,finnish,184.5024,Keisari Irwin,Kopla ja kummisetA$?,1979
Irwin Goodman,finnish,157.33506,Dirly dirly dee,Liverpoolin pokia,1985
Irwin Goodman,finnish,194.32444,Erikoiset,Yhteinen koti,2001
J. Peter Robinson,soundtrack composer,161.59302,The World's Fastest Indian,Jake,2006
J.J. Cale,classic pop and rock,202.94485,#8,Trouble In The City,1983
J.J. Cale,classic pop and rock,160.62649,#8,Losers,1983
J.J. Cale,classic pop and rock,263.94077,The Very Best Of J.J. Cale,Midnight In Memphis,1997
Jaci Velasquez,indie pop,62.27546,Love Out Loud,Nothing But Sky [Outro] (Album Version),2008
Jack Johnson,folk,228.70159,Brushfire Fairytales,Fortunate Fool,2000
Jack Johnson,folk,207.09832,Brushfire Fairytales,Inaudible Melodies,2000
Jack Johnson,folk,215.87546,Flake,It's All Understood,2000
Jack Johnson,folk,264.82893,Sleep Through The Static: Remixed,Monsoon,2008
Jack Johnson,folk,236.19873,Sleep Through The Static,Adrift,2008
Jack Johnson,folk,196.20526,You And Your Heart,You And Your Heart,2010
Jack Johnson and Friends / Matt Costa,folk,136.30649,Talk Of The Town,Fall Line,2003
Jackie Wilson,classic pop and rock,160.78322,The Jackie Wilson Genesis,I'm Wanderin',1958
Jackie Wilson,classic pop and rock,101.77261,Lonely Teardrops,If I Can't Have You,1958
Jackie Wilson,classic pop and rock,128.93995,Lonely Teardrops,It's So Fine,1958
Jackie Wilson,classic pop and rock,120.76363,Reet Petite,Why Can't You Be Mine,1958
Jackie Wilson,classic pop and rock,141.81832,Lonely Teardrops,Each Time (I Love You More),1959
Jackie Wilson,classic pop and rock,182.49098,Reet Petite,One Moment With You,1993
Jacques Dutronc,french,128.33914,IntA(c)grale Les Cactus,Transes-Dimanche,1968
Jacques Dutronc,french,192.33914,L' Aventurier,Les Femmes Des Autres,1969
Jacques Dutronc,french,152.76363,IntA(c)grale Les Cactus,Laquelle Des Deux Est La Plus Snob,1969
Jacques Dutronc,french,151.09179,En Vogue,L'Aventurier,1969
Jacques Dutronc,french,189.85751,IntA(c)grale Les Cactus,Les Femmes Des Autres,1969
Jacques Dutronc,french,142.91546,IntA(c)grale Les Cactus,L'Homme De Paille,1989
Jacques Dutronc,french,189.36118,En Vogue,Les Playboys (Version Espagnole),2004
Jacques Higelin,french,163.05587,Chante Higelin et Vian,Quand j'improvise sur mon piano,1973
Jaguares,latin,302.8371,Cuando La Sangre Galopa,El Momento,2001
Jah Cure,hip hop rnb and dance hall,240.48281,Ghetto Life,How Can I,2003
Jah Cure,hip hop rnb and dance hall,210.85995,The Ultimate Reggae Dancehall X-Perience 2008,To Your Arms of Love,2007
Jah Cure,hip hop rnb and dance hall,287.65995,The Universal Cure,Freedom,2008
James Carter,jazz and blues,258.42893,Gardenias For Lady Day,Strange Fruit,2003
James Carter,jazz and blues,366.0273,Present Tense,Dodo's Bounce,2008
James Horner,soundtrack,191.81669,Aliens - The Deluxe Edition,Atmosphere Station,1986
James Horner,soundtrack,269.7922,Deep Impact - Music from the Motion Picture,The President's Speech,1998
James Horner,soundtrack,197.38077,Cocoon: The Return,Good Friend,2000
James Horner,soundtrack,231.57506,The Missing,The Stranger,2003
James Horner,soundtrack,203.54567,The Missing,Rescue And Breakout,2003
James Hunter,jazz and blues,180.89751,The Hard Way,Class Act,2008
James Last,german,260.12689,Welthits In Gold,Games That Lovers Play,1967
James Last,german,227.94404,James Last And Friends,Summer Rain,1998
James Newton Howard,american,95.50322,The Happening,Voices,1997
James Newton Howard,american,54.96118,The Sixth Sense,Photographs,1999
James Newton Howard,american,108.35546,Michael Clayton,U North,2007
James Newton Howard,american,110.52363,Nanny McPhee & The Big Bang,The Burp Heard 'Round The World,2010
James Taylor Quartet,jazz and blues,188.94322,Don't Mess With Mr T,Cleo's Mood,2007
James Taylor Quartet,jazz and blues,198.3473,Don't Mess With Mr T,Got To Give It Up,2007
Jane's Addiction,rock and indie,185.15546,Nothing's Shocking,Standing In The Shower... Thinking ( LP Version ),1988
Jane's Addiction,rock and indie,355.63057,Ritual De Lo Habitual,Obvious ( LP Version ),1990
Jane's Addiction,rock and indie,214.54322,Ritual De Lo Habitual,Ain't No Right ( LP Version ),1990
Jane's Addiction,rock and indie,229.61587,Strays,True Nature,2003
Jane's Addiction,rock and indie,327.1571,Strays,Price I Pay,2003
Janet Jackson,pop and chart,235.41506,Control,When I Think Of You,1986
Janet Jackson,pop and chart,10.34404,Janet,Hold On Baby,1993
Janet Jackson,pop and chart,227.082,Janet,Again,1993
Janet Jackson,pop and chart,232.202,Again,Again (Instrumental),1993
Janet Jackson,pop and chart,263.02649,Discipline,Greatest X,2008
Janet Jackson Featuring Kanye West,pop and chart,257.14893,Damita Jo,My Baby (Feat. Kanye West),2004
Janis Joplin,american,246.72608,Janis,Maybe,1969
Janis Joplin,american,205.53098,Cheap Thrills/Kozmic Blues/Pearl,Get It While You Can,1971
Janis Joplin,american,266.23955,Janis,Piece Of My Heart,1972
Janis Joplin,american,183.14404,ANTHOLOGY,Down On Me,1972
Janis Joplin,american,137.79546,Janis,Raise Your Hand,1988
Jars Of Clay,rock,191.81669,Mini Monsters EP,Love Me,2006
Jars Of Clay,rock,223.89506,The Long Fall Back To Earth,Don't Stop,2009
Jason Mraz,pop rock,336.43057,Selections For Friends,Did You Get My Message?  (Live From Shubas),2007
Jason Mraz,pop rock,740.46649,Selections For Friends,Song For A Friend (Live From Montalvo),2007
Jawoll,ndw,235.31057,Hier ist Berlin! - Dieter Thomas Heck prA$?s.: Die NDW Hits,Rendezvous - Ich hab' Dich seit langem nicht gesehen,1990
Jaydee,dutch,265.84771,Optimo presents In Order To Edit,Plastic Dreams,1992
Jay-Z,us,259.05587,R&B Love Collection Summer 2009,Change Clothes,2003
Jazzy B,bhangra,411.68934,Romeo,Soorma,2005
Jean-Jacques Goldman,french,236.09424,Live 98 En Passant,La Vie Par Procuration,1985
Jean-Jacques Goldman,french,501.05424,Live 98 En Passant,LA -Bas,1991
Jean-Jacques Goldman,french,327.65342,IntA(c)grale 81-91,Comme Toi (Live),1991
Jeff Beck,classic pop and rock,163.83955,Original Album Classics,Head For Backstage Pass,1976
Jefferson Starship,classic pop and rock,240.3522,Modern Times,Stairway To Cleveland,1981
Jefferson Starship,classic pop and rock,329.50812,Windows Of Heaven,Let me fly,1999
Jellyfish,orchestral,216.60689,Best!,The Ghost At #1,2006
Jennifer Lopez,pop and chart,275.69587,On The 6 / J. Lo (Coffret 2 CD),Talk About Us,1999
Jennifer Lopez,pop and chart,211.56526,J.Lo,Play,2001
Jennifer Lopez,pop and chart,247.77098,J.Lo,We Gotta Talk,2001
Jennifer Lopez,pop and chart,246.20363,J.Lo,Ain't It Funny,2001
Jennifer Lopez,pop and chart,220.55138,This Is Me...Then,Still,2002
Jennifer Lopez,pop and chart,224.39138,I'm Glad,I'm Glad,2002
Jennifer Lopez,pop and chart,211.80036,Como Ama Una Mujer,Por Arriesgarnos,2007
Jennifer Lopez featuring Ja Rule,pop and chart,263.20934,J.Lo,I'm Real,2001
Jerry Goldsmith,soundtrack,169.1424,The Sand Pebbles,Main Title,1966
Jerry Goldsmith,soundtrack,281.28608,Rambo - First Blood,First Blood,1985
Jerry Goldsmith,soundtrack,110.70649,L.A. Confidential,The Keys,1997
Jesse Malin,rock and indie,211.85261,Messed Up Here Tonight,Almost Grown,2002
Jesse Malin,rock and indie,261.17179,Mercury Retrograde,Wendy,2002
Jesse Malin,rock and indie,147.85261,Love It To Life,Going Out West,2004
Jesse Malin,rock and indie,260.62322,Mercury Retrograde,Since You're In Love,2004
Jesse Malin,rock and indie,219.19302,Broken Radio,Broken Radio,2007
